fips,state_fips,year,death_supp,death_miss,deaths,population,crude_rate,expansion,post,treated,ever_missing_flag,count_year,pop_total,pct_white,pop_20_64,pct_55_64,log_20_64,log_35_44,log_f_20_64,unemp,state_abb
1001,1,2009,0,0,129,31271,412.52278468868917,0,0,0,0,9,54135,0.8020504294818509,31271,0.18176585334655113,10.350446429473651,9.023528749909364,9.686512437242294,8.89230769230769,AL
1001,1,2010,0,0,135,31875,423.52941176470586,0,0,0,0,9,54792,0.8017593809315229,32114,0.1839073301363891,10.37704735110963,9.01942196795671,9.710084825731355,8.80769230769231,AL
1001,1,2011,0,0,157,32538,482.51275431802816,0,0,0,0,9,55504,0.800608965119631,32702,0.18735857134120237,10.395191517094531,9.014447135152134,9.72136597574484,8.33076923076923,AL
1003,1,2009,0,0,417,103603,402.49799716224436,0,0,0,0,9,179406,0.8858733821611318,103603,0.22998368773105027,11.548321565917217,10.063009495553011,10.876725564852034,8.93846153846154,AL
1003,1,2010,0,0,449,105414,425.9396285123418,0,0,0,0,9,183215,0.8855170155282046,105994,0.23340000377379852,11.571137767718565,10.068747721401788,10.897886815076554,9.9,AL
1003,1,2011,0,0,465,108057,430.32843776895527,0,0,0,0,9,187075,0.8855111586262194,108195,0.23850455196635703,11.591690433605883,10.076305761898272,10.92056435322172,8.96153846153846,AL
1005,1,2009,0,0,92,17008,540.9219190968955,0,0,0,0,9,27657,0.5125284738041003,17008,0.20996001881467544,9.74143910058173,8.231376045573969,8.922258219503062,13.1615384615385,AL
1005,1,2010,0,0,72,16874,426.691952115681,0,0,0,0,9,27335,0.5113224803365648,16816,0.2146764985727878,9.730086093116732,8.187299270155147,8.904901577935142,12.1538461538462,AL
1005,1,2011,0,0,88,16687,527.3566249176005,0,0,0,0,9,27413,0.5125305511983366,16863,0.2152641878669276,9.732877151670184,8.176672771948455,8.890548245606167,11.4307692307692,AL
1007,1,2009,0,0,70,14187,493.40945936420667,0,0,0,0,9,22941,0.7699751536550281,14187,0.1895397194614788,9.560081331311986,8.118802996980035,8.733594061863055,12.1615384615385,AL
1007,1,2010,0,0,77,14243,540.6164431650635,0,0,0,0,9,22857,0.7706173163582273,14233,0.19286165952364223,9.563318491070625,8.119398589612294,8.738254576526122,11.2538461538462,AL
1007,1,2011,0,0,77,14237,540.8442789913605,0,0,0,0,9,22709,0.7737460918578537,14251,0.1950740298926391,9.564582358673212,8.098034756176071,8.734721003944811,10.4384615384615,AL
1009,1,2009,0,0,142,33445,424.57766482284353,0,0,0,0,9,57341,0.9737709492335328,33445,0.2140529227089251,10.417657577552507,9.01517670716893,9.724600092476456,9.16153846153846,AL
1009,1,2010,0,0,139,33270,417.79380823564776,0,0,0,0,9,57392,0.9735677446333983,33336,0.2199424046076314,10.414393173102289,8.972717499397138,9.720885956534854,9.7,AL
1009,1,2011,0,0,164,33590,488.24054778207795,0,0,0,0,9,57717,0.9734566938683576,33560,0.22416567342073895,10.421090160581144,8.960467760919949,9.728300484642771,8.64615384615385,AL
1011,1,2009,0,0,43,6709,640.9300939037114,0,0,0,0,9,10987,0.27013743515063254,6709,0.2010731852735132,8.811205187562887,7.22402480828583,7.9355873855892,14.3615384615385,AL
1011,1,2010,0,0,41,6732,609.0314913844326,0,0,0,0,9,10886,0.26630534631636965,6735,0.2111358574610245,8.815073088844464,7.212294468500341,7.9561263512135,11.6307692307692,AL
1011,1,2011,0,0,26,6621,392.68992599305244,0,0,0,0,9,10685,0.26794571829667757,6639,0.21961138725711704,8.80071662871916,7.189922170745808,7.942362237674335,11.4769230769231,AL
1013,1,2009,0,0,84,11823,710.4795737122558,0,0,0,0,9,20867,0.5509656395265251,11823,0.23014463334179144,9.377802065863111,7.773173680482536,8.754160749323518,15.0923076923077,AL
1013,1,2010,0,0,66,11879,555.602323427898,0,0,0,0,9,20925,0.548626045400239,11857,0.23800286750442776,9.380673689458073,7.775695749915245,8.755264763314685,13.4,AL
1013,1,2011,0,0,58,11814,490.9429490435077,0,0,0,0,9,20788,0.5468058495285741,11831,0.24317471050629705,9.378478484253662,7.768110378525988,8.755264763314685,12.3538461538462,AL
1015,1,2009,0,0,405,70443,574.9329244921427,0,0,0,0,9,118363,0.7740087696324021,70443,0.2085799866558778,11.162559151141055,9.601976972147812,10.494297420728252,10.2,AL
1015,1,2010,0,0,423,70531,599.7362861720378,0,0,0,0,9,118481,0.7736514715439606,70630,0.2151352116664307,11.165210262402969,9.589872098057842,10.498111898237449,11.2153846153846,AL
1015,1,2011,0,0,400,70480,567.5368898978434,0,0,0,0,9,118090,0.7731645355237531,70670,0.22128201499929248,11.1657764336849,9.57976370873708,10.50334002087177,10.2923076923077,AL
1017,1,2009,0,0,114,19973,570.7705402293096,0,0,0,0,9,34384,0.5962366216845044,19973,0.23466680018024333,9.902136640465171,8.40804774415544,9.237955539009157,18.1,AL
1017,1,2010,0,0,124,19976,620.7448938726471,0,0,0,0,9,34081,0.5978991226783251,19909,0.2393892209553468,9.898927169779796,8.388677769180811,9.235715678307413,14.6153846153846,AL
1017,1,2011,0,0,111,19821,560.0121083699107,0,0,0,0,9,34154,0.5988756807401768,19988,0.24259555733440064,9.902887372464097,8.37216741936598,9.2393164802127,11.8384615384615,AL
1019,1,2009,0,0,78,15099,516.5905026822968,0,0,0,0,9,25854,0.9410536087259224,15099,0.25518246241472947,9.62238379544447,8.145549631783584,8.921190556249368,10.7,AL
