"est_sol1","est_sol2","est_sol3","true_att_weighted","config","N1","gamma","hhi","sim"
0.764936016802156,0.763846866177148,0.765160843583536,1,1,5,0,0.3,1
0.825223839806945,0.779134964822743,0.826320359839212,1,1,5,0,0.3,2
0.599137735528806,0.594557202694204,0.598208614746765,1,1,5,0,0.3,3
0.863275811015577,0.858481516173386,0.87012938105997,1,1,5,0,0.3,4
1.22731462717289,1.22378651237033,1.22325529898078,1,1,5,0,0.3,5
1.33652957878891,1.33713323585497,1.33458046881949,1,1,5,0,0.3,6
1.26283405943857,1.26175590734332,1.26056372488591,1,1,5,0,0.3,7
1.31627659466845,1.31168762677957,1.31538293850304,1,1,5,0,0.3,8
0.94293609519414,0.95503644643872,0.941591880253813,1,1,5,0,0.3,9
1.15509851736134,1.14976449248002,1.15360697836732,1,1,5,0,0.3,10
1.07456383357587,1.0783692092317,1.07132140586057,1,1,5,0,0.3,11
1.04595021029825,1.03430707248475,1.04489635264705,1,1,5,0,0.3,12
1.14091472752903,1.14291073929365,1.14340534080689,1,1,5,0,0.3,13
1.14055088823255,1.14962005642699,1.13933381523612,1,1,5,0,0.3,14
1.13931094272044,1.15403265518681,1.14105008787195,1,1,5,0,0.3,15
0.755948127271211,0.744024521317448,0.755731987725175,1,1,5,0,0.3,16
1.10265681172339,1.08785451517399,1.10245288709001,1,1,5,0,0.3,17
1.05348768441334,1.06459232711466,1.04932084083169,1,1,5,0,0.3,18
1.09732453574509,1.09469427609676,1.09994571601818,1,1,5,0,0.3,19
0.912912990942496,0.922050087001659,0.91301353743071,1,1,5,0,0.3,20
0.441077721831514,0.440585434499871,0.445576089955146,1,1,5,0,0.3,21
0.80626839972677,0.801648797268277,0.814381560656279,1,1,5,0,0.3,22
0.971536397306292,0.969931497015075,0.97047649816971,1,1,5,0,0.3,23
0.998740166608314,0.997639867316235,0.998909142010508,1,1,5,0,0.3,24
1.04362754302993,1.03735917575417,1.05345331693546,1,1,5,0,0.3,25
1.03563562214746,1.02758947669462,1.03606873769982,1,1,5,0,0.3,26
1.01184217176602,1.0130385152941,1.01075805349345,1,1,5,0,0.3,27
0.732174788346581,0.74967344459501,0.733552622282126,1,1,5,0,0.3,28
1.25289584195875,1.26280998753442,1.24632513066181,1,1,5,0,0.3,29
1.07634623127557,1.06871465498645,1.07676011141058,1,1,5,0,0.3,30
1.01230604011142,1.00957113385499,1.01237078887584,1,1,5,0,0.3,31
0.919127576845781,0.929646987519777,0.914448430956892,1,1,5,0,0.3,32
1.07521600205479,1.07766780877767,1.07775881108617,1,1,5,0,0.3,33
