fips,obama_share_2008,obama_share_2012,votes_source
1001,0.25773021445793326,0.2658783219120842,mit_dataverse
1003,0.23811921928930269,0.21589444327263352,mit_dataverse
1005,0.48985382631126395,0.5136849422191329,mit_dataverse
1007,0.2659648310967145,0.261520190023753,mit_dataverse
1009,0.14513536901965632,0.12371907023244189,mit_dataverse
1011,0.7407202216066482,0.7630590003757985,mit_dataverse
1013,0.43135235348645584,0.4606149957877001,mit_dataverse
1015,0.331708703951911,0.33532222150161056,mit_dataverse
1017,0.4546001604707141,0.4702621312709602,mit_dataverse
1019,0.2366341713699333,0.21801820227017077,mit_dataverse
1021,0.20657857745290975,0.19453670828083838,mit_dataverse
1023,0.46060298961236384,0.4751506024096386,mit_dataverse
1025,0.44019352437662823,0.4572955021298101,mit_dataverse
1027,0.25810236105000733,0.26673671570099067,mit_dataverse
1029,0.17991373998767715,0.15400475812846948,mit_dataverse
1031,0.25233505564387915,0.24911482043500252,mit_dataverse
1033,0.39057279716620374,0.3919606585418003,mit_dataverse
1035,0.49387872677516925,0.5062660210766163,mit_dataverse
1037,0.408592486068668,0.41582843044220913,mit_dataverse
1039,0.20523215303730918,0.20475912598067822,mit_dataverse
1041,0.30805913209346686,0.31941414770956683,mit_dataverse
1043,0.16609545390171362,0.14661752328989755,mit_dataverse
1045,0.2727743271221532,0.28485207738319773,mit_dataverse
1047,0.6707270285823902,0.6973703049682624,mit_dataverse
1049,0.23560274828232355,0.21954490214977163,mit_dataverse
1051,0.2419058720676089,0.25233197125546003,mit_dataverse
1053,0.35355049747853345,0.36915730714910217,mit_dataverse
1055,0.3016965822473568,0.3010345638372913,mit_dataverse
1057,0.25059695865275855,0.22866851245909892,mit_dataverse
1059,0.29667322329598905,0.2920158393958928,mit_dataverse
1061,0.18306596894569788,0.18012367491166079,mit_dataverse
1063,0.830914231856739,0.846629213483146,mit_dataverse
1065,0.6065254443632822,0.6260557676732617,mit_dataverse
1067,0.3489824236817761,0.3519406392694064,mit_dataverse
1069,0.292919611836588,0.29502838875900567,mit_dataverse
1071,0.3053559451949794,0.282937260047626,mit_dataverse
1073,0.5215336991875024,0.5260497897459183,mit_dataverse
1075,0.22812720848056536,0.22969578565447948,mit_dataverse
1077,0.34980579466722656,0.33883111255551945,mit_dataverse
1079,0.3517711171662125,0.35919784580498865,mit_dataverse
1081,0.3957294063506673,0.3933295314483342,mit_dataverse
1083,0.28422401716789364,0.27719337826785867,mit_dataverse
1085,0.7486946963451497,0.7641271107565484,mit_dataverse
1087,0.8688057368759768,0.8702135847604388,mit_dataverse
1089,0.41934218013198254,0.39994453724066326,mit_dataverse
1091,0.5166070961555226,0.5345410418653029,mit_dataverse
1093,0.2104411169566977,0.18579099545642297,mit_dataverse
1095,0.21220527045769763,0.19342258797518885,mit_dataverse
1097,0.4529775553399771,0.45040717357489246,mit_dataverse
1099,0.4465872733736225,0.45890922674635787,mit_dataverse
1101,0.5935098288191096,0.6189415643028139,mit_dataverse
1103,0.2749198686241146,0.27246923342051377,mit_dataverse
1105,0.7236564377333983,0.7489752418429251,mit_dataverse
1107,0.4563425052150591,0.463531370304859,mit_dataverse
1109,0.42128269437477606,0.4278018005245623,mit_dataverse
1111,0.2950693374422188,0.2960184650894403,mit_dataverse
1113,0.5331747290510177,0.5561735261401557,mit_dataverse
1115,0.17868458108425253,0.16504495277113918,mit_dataverse
1117,0.22754101254371545,0.2167511647767196,mit_dataverse
1119,0.7498575498575498,0.7714529671267967,mit_dataverse
1121,0.40284762016138465,0.4166541815239865,mit_dataverse
1123,0.31396613329190615,0.3355993414413936,mit_dataverse
1125,0.4156021897810219,0.407787250286296,mit_dataverse
1127,0.2589697054306855,0.22990077486764138,mit_dataverse
1129,0.34951566951566954,0.3390293916609706,mit_dataverse
1131,0.7101940252540807,0.7430926576095253,mit_dataverse
1133,0.17515701325889743,0.13238624665431337,mit_dataverse
2001,0.372596843615495,0.19658119658119658,mit_dataverse
2002,0.44835164835164837,0.34179730624862,mit_dataverse
2003,0.6452606364777005,0.3351458230350964,mit_dataverse
2004,0.47630494505494503,0.4219832031825549,mit_dataverse
2005,0.47634423697880107,0.44750092103647304,mit_dataverse
2006,0.3445193434935522,0.27524701655331707,mit_dataverse
2007,0.39315219386818434,0.259009900990099,mit_dataverse
2008,0.48401162790697677,0.25272991992234894,mit_dataverse
2009,0.39269214615707687,0.2250269978401728,mit_dataverse
2010,0.3693677649154052,0.2045662100456621,mit_dataverse
2011,0.1950131765659842,0.25744409686015524,mit_dataverse
2012,0.25220714191593097,0.2932736809626658,mit_dataverse
2013,0.24292903001908728,0.4249167688803224,mit_dataverse
2014,0.20390206579954093,0.4725523486134692,mit_dataverse
2015,0.22641169042035,0.508913346767943,mit_dataverse
2016,0.24642423109282977,0.5588358167386158,mit_dataverse
2017,0.27995342929720574,0.6217040749618653,mit_dataverse
2018,0.3191389798783341,0.6128427128427129,mit_dataverse
2019,0.41983179598480735,0.4979483466087376,mit_dataverse
2020,0.4815103152977812,0.38686589653440484,mit_dataverse
2021,0.4204034582132565,0.37401308369050307,mit_dataverse
2022,0.503014772384685,0.43615560640732265,mit_dataverse
2023,0.5754024286924597,0.3783751493428913,mit_dataverse
2024,0.4396462018730489,0.42913979969817534,mit_dataverse
2025,0.5017848828185628,0.43170534580302505,mit_dataverse
2026,0.514318573893042,0.30206843961490804,mit_dataverse
2027,0.36832195810779006,0.4123625612122332,mit_dataverse
2028,0.37193627450980393,0.2589655580542076,mit_dataverse
2029,0.3855214018960069,0.24129322181999752,mit_dataverse
2030,0.3796145050637047,0.37643345607574963,mit_dataverse
2031,0.3518590998043053,0.5012319228709159,mit_dataverse
2032,0.4205736572682213,0.6223761544920235,mit_dataverse
2033,0.234481984510046,0.3635390175344666,mit_dataverse
2034,0.20108923334729786,0.5397707537339353,mit_dataverse
2035,0.44764811112280334,0.4082515868436238,mit_dataverse
2036,0.33927768619811177,0.6719629927594529,mit_dataverse
2037,0.4004287245444802,0.6069204152249135,mit_dataverse
2038,0.5288381742738589,0.6018491341356031,mit_dataverse
2039,0.5198688271604939,0.555640243902439,mit_dataverse
2040,0.4274,0.64155844155844155,mit_dataverse
2099,NA,NA,mit_dataverse
4001,0.6343252823345149,0.6633782110801609,mit_dataverse
4003,0.38801720606308887,0.378466624492378,mit_dataverse
4005,0.5784079199175622,0.5655603023332237,mit_dataverse
4007,0.3530201943312587,0.35753437383872166,mit_dataverse
4009,0.290413925210294,0.3044285111767187,mit_dataverse
4011,0.3999313422588397,0.44048419636852726,mit_dataverse
4012,0.3474423631123919,0.3288437991953822,mit_dataverse
4013,0.4411595341115723,0.4375318729759298,mit_dataverse
4015,0.32678056356778346,0.2790029995714898,mit_dataverse
4017,0.4351675977653631,0.45386366680058926,mit_dataverse
4019,0.5242484012322458,0.5264905166775671,mit_dataverse
4021,0.4219368248429202,0.40904768499284494,mit_dataverse
