year,fips,state_abb,pop_total,pct_white,pop_20_64,pct_55_64,log_20_64,log_35_44,log_f_20_64,unemp
2005,2013,AK,2787,0.28274129888769284,2274,0.14951627088830255,7.729295674310482,6.434546518787453,6.595780513961311,10.26153846153846
2005,2016,AK,5913,0.45476069676982916,4774,0.13385002094679513,8.470939806898775,7.2456550675945355,7.31986492980897,6.13076923076923
2005,2020,AK,276494,0.7425332918616678,176156,0.14857285587774471,12.079125245068372,10.657000497882507,11.36986308212839,5.523076923076923
2005,2050,AK,16728,0.13079866092778575,8849,0.13775567860775229,9.08805973726735,7.742835955430749,8.32239411311117,12.853846153846154
2005,2060,AK,1171,0.5217762596071733,759,0.17654808959156784,6.63200177739563,5.2832037287379885,5.808142489980444,8.476923076923077
2005,2068,AK,1834,0.9318429661941112,1282,0.17394695787831513,7.156176637480615,5.7430031878094825,6.317164686747284,9.26923076923077
2005,2070,AK,4841,0.22392067754596157,2616,0.1536697247706422,7.86940171257709,6.502790045915623,7.121252453244542,10.8
2005,2090,AK,90431,0.8172971657949155,57809,0.13508277257866422,10.964899751881587,9.444621667700849,10.200401876301486,5.884615384615385
2005,2100,AK,2280,0.8618421052631579,1495,0.2548494983277592,7.3098814858247865,5.8664680569332965,6.593044534142437,10.138461538461538
2005,2110,AK,31003,0.7703770602844886,20144,0.1699265289912629,9.910661756284128,8.525756422076725,9.20230820027892,5.369230769230769
2005,2122,AK,51590,0.8875944950571816,32136,0.20192307692307693,10.377732176039117,8.921324076511265,9.621323560768252,8.853846153846154
2005,2130,AK,13338,0.7540110961163593,8358,0.19095477386934673,9.03097444300786,7.669028288589683,8.303752415563412,6.907692307692308
2005,2150,AK,13105,0.6225867989317054,7968,0.15261044176706828,8.983188799264434,7.6251071482389,8.219864741912652,8.415384615384616
2005,2164,AK,1639,0.23306894447834045,966,0.16977225672877846,6.873163834212518,5.420534999272286,6.025865973825314,7.523076923076923
