"est_sdid_eq","est_sdid_wt","est_did_eq","est_did_wt","est_plac_wt","true_att_equal","true_att_weighted","config","gamma_trend","N1","gamma","hhi","sim"
0.988600530465585,1.47949810666221,0.904294171877378,1.34575304557447,0.0500352859539946,1,1.48163595981285,1,0,20,0.5,0.15,1
0.919197240091277,1.60418480409154,0.790156803093448,1.64489890174309,-0.315538671360466,1,1.5847612365251,1,0,20,0.5,0.15,2
0.979799444309749,1.38212733629712,0.957551120681388,1.35908779479749,0.133046180144117,1,1.34612191047728,1,0,20,0.5,0.15,3
0.990514828690265,2.11751101803734,1.00793380019231,1.89323698924809,0.0526884979891989,1,2.18803131744676,1,0,20,0.5,0.15,4
1.19296679657669,1.86679848167649,1.63403513090732,1.86481243918418,-0.34448937569144,1,1.62201017790359,1,0,20,0.5,0.15,5
1.07717041464929,1.56345114142578,1.01390847356091,1.69671791167499,-0.0261513905222899,1,1.51730571036394,1,0,20,0.5,0.15,6
1.02741033136032,1.44359398398294,0.82901633302519,1.16764617161461,-0.164587036672162,1,1.38836842735852,1,0,20,0.5,0.15,7
0.939549204854169,1.17739753566507,0.937557043336762,1.16323052171208,-0.0223720337694359,1,1.31497410153024,1,0,20,0.5,0.15,8
1.18085485823694,1.96559123287182,0.907706818694481,1.53950578370775,-0.0569794653255538,1,1.72554137336394,1,0,20,0.5,0.15,9
0.862586872448721,1.41635927031785,0.908778901849007,1.45050463319284,0.181977225747756,1,1.51100355384105,1,0,20,0.5,0.15,10
0.96464511285255,1.96201053157843,0.975402851400746,1.9256630249775,0.159034845294937,1,2.15809923009128,1,0,20,0.5,0.15,11
1.04076215289185,1.6862716874453,0.992457668394026,1.94397693062547,-0.0736764007308052,1,1.65482405430806,1,0,20,0.5,0.15,12
1.09877343398454,1.62144633146846,1.13833968555109,1.72076665922481,0.0565847889288979,1,1.48926008085396,1,0,20,0.5,0.15,13
1.12948100098975,2.01409832510182,0.975209616318413,1.89402495588886,0.260999045810062,1,2.04687352596888,1,0,20,0.5,0.15,14
