fips,state_fips,pct_male,pct_white,pct_black,pct_hispanic,pct_2024,pct_2534,pct_3544,pct_4554,pct_5564,poverty_rate,med_income,log_median_income,pop_density,log_pop_density,uninsured_rate,avg_mortality_pre,dem_governor_2010
12033,12,0.4954304426602836,0.6601771970943666,0.219059492345285,0.049389118835087016,0.1484404547375915,0.21786357872255221,0.18846915393000957,0.23428774833700416,0.21093906427284256,0.18132576366200703,43918,10.690079537805937,458.20696126654894,6.12732096254159,0.168,478.7054274304662,0
12053,12,0.47905775795839856,0.8152080360907815,0.049601719048746815,0.10637769395618044,0.08984396629051727,0.17162600635651876,0.20810400770755585,0.257483305832715,0.2729427138126931,0.15443762014159126,41024,10.621912540280341,366.3591788191028,5.903614215073335,0.20800000000000002,525.1030003848826,0
12057,12,0.4878485237055345,0.5306964790092796,0.1576357029460702,0.25254449234565507,0.1204839066381965,0.23388432851746038,0.22705433344498951,0.23381578283693757,0.184761648562416,0.16835371298199497,49596,10.811665464299733,1232.9893532141296,7.117196868264233,0.185,343.2560992006386,0
12091,12,0.5031960915136775,0.762741321051159,0.0874943503432839,0.07446247551815423,0.12781597457589816,0.2369688273044994,0.19234459869886347,0.24601868072856603,0.19685191869217294,0.1338895686500313,54684,10.909326441051883,199.7877982944315,5.297255794752189,0.157,352.4461839987258,0
12123,12,0.5635481023830539,0.7275375110326566,0.20992939099735217,0.036672550750220655,0.10300184948072272,0.22962014511310286,0.208991321667378,0.23203869682742922,0.2263479869113672,0.16655501159494976,36356,10.501114531238661,21.719439665294423,3.0782076966341747,0.172,506.765223040413,0
12129,12,0.54807941863483,0.79425123280560606,0.1482610952504542,0.03409680768232546,0.09206969059777712,0.21062381095424051,0.2392109742665465,0.24947431661159508,0.2086212075698408,0.14361663122387622,52691,10.872199941956618,50.82954195036765,3.9284777200148566,0.15,386.347339934442,0
13187,13,0.4912580517943999,0.9146838438280531,0.02198632838175365,0.0452543709741028,0.1834907463012502,0.19015122563738604,0.17715783152262926,0.2401594147513239,0.2090407817874106,0.18118805018368336,43775,10.686818157154052,107.54489578804876,4.677908395620058,0.205,375.16141905476763,0
13189,13,0.4751348112642301,0.5582338572152832,0.4077522238097433,0.023782089689818868,0.09482337620055348,0.201286016604265,0.21691356014976396,0.2563079928373759,0.23066905420804168,0.22182569496619084,37487,10.531749485189057,84.2729578460427,4.434061028800926,0.159,575.6730594900938,0
13201,13,0.4829864552362075,0.6891311529567228,0.3002973240832507,0.005946481665014866,0.10964253529588465,0.1694202463202163,0.2322018624211475,0.2565334935416041,0.2322018624211475,0.22992019018509086,32260,10.3815833516792,21.436083010824266,3.065075624121106,0.188,701.466846821269,0
13211,13,0.4855623950755456,0.7164521544487968,0.24331281477336317,0.028035814213766087,0.08469597571722315,0.18300205620287868,0.22177616762949182,0.26711054538333495,0.24341525506707137,0.15371554700322598,47729,10.773294458596721,51.44681573863751,3.9405485699592777,0.179,459.0487831633496,0
13149,13,0.49683976768021865,0.8548001366586949,0.09591732148957978,0.020669627605056373,0.10675793766385086,0.17914360617535682,0.22633265365569472,0.27585202446839496,0.21191377803670258,0.24321286529482966,39909,10.594357141352015,39.55004560348614,3.677566847272066,0.153,534.3155405141334,0
13219,13,0.4926293622141998,0.8574308062575211,0.04912755716004814,0.04509626955475331,0.08581318454226079,0.16015705724323206,0.2542880760487704,0.27397189501963215,0.22576978714610457,0.09299436397794072,75004,11.22529672442961,180.36789842096695,5.194998645125438,0.126,238.3946364978232,0
13095,13,0.4646996391424326,0.28343239227340267,0.6707386966673742,0.023699851411589895,0.1530050661515472,0.22921602215985712,0.19790793454094835,0.2157305827896636,0.20414039435798376,0.31184809066978003,31671,10.363156714657805,286.65394947807806,5.658275737309634,0.161,507.05756716436457,0
13111,13,0.490048276446176,0.9582027610739392,0.0030913864656559667,0.01888710087236385,0.07855231866825207,0.15613852556480382,0.19151307966706302,0.2662009512485137,0.3075951248513674,0.23037367158039082,34239,10.44112062422171,61.061793583521016,4.1118863609912895,0.231,530.2136685543896,0
13151,13,0.47960978730209497,0.5144003605542067,0.3676780599857523,0.059956675341290726,0.0969994384628531,0.19891436151598754,0.27427427427427425,0.25764789179423325,0.17216403395265184,0.1115251803480461,60781,11.015032519115959,640.5827515234674,6.462378311310636,0.16899999999999998,345.589041294926,0
13153,13,0.48695925421598407,0.5979819140393142,0.28824412555427537,0.062386089871163716,0.11884400565482398,0.23787341537463208,0.22039908224987834,0.24568356161208835,0.17719993510857726,0.15210818848019259,54893,10.913141114814492,381.3298681102729,5.943664796106935,0.153,335.2397429654178,0
13175,13,0.47748065473103335,0.5967470904300562,0.3589818061116528,0.023691471485177272,0.10576224385990408,0.2108705130068304,0.2255122801918326,0.2397180642348496,0.21813689870658334,0.2470808430993045,34793,10.457171496104019,59.709202077057235,4.089486147164591,0.16,573.6526447131934,0
13183,13,0.48537782139352303,0.5920837422309454,0.262348707883546,0.12070657507360157,0.15633187772925763,0.23919213973799128,0.25,0.2029475982532751,0.15152838427947599,0.19230769230769232,42651,10.660805999303808,38.18452983189813,3.6424304553641407,0.20800000000000002,352.1060591812328,0
13255,13,0.482526440767993,0.6048491665494993,0.32905281904672634,0.03994625923669369,0.1103897838689856,0.22892789399161123,0.21679890999438967,0.23624802970799605,0.20763538243701746,0.21464027746841888,41534,10.634267647902924,325.8071247881345,5.786305564523473,0.17,564.491173922783,0
13257,13,0.4725202624469317,0.8374758780393671,0.12674642994982632,0.017792358162871478,0.1215311004784689,0.17682843472317156,0.20745044429254955,0.24880382775119617,0.24538619275461382,0.1979493365500603,37898,10.54265361922956,144.64274748647637,4.974266891806906,0.158,645.7260485090902,0
13271,13,0.5760478311268379,0.509486913550119,0.3584894149228235,0.128790189738271,0.0893939393939394,0.23825757575757575,0.25350378787878786,0.21912878787878787,0.19971590909090908,0.30499443295689516,26634,10.18994387406209,37.48202047550554,3.623861364015032,0.16699999999999998,421.9061484178764,0
13293,13,0.47377219704287094,0.6817742774351735,0.2789583178542239,0.023070064640760828,0.10775447373484703,0.17349753062664358,0.22192290423962543,0.2590597139375281,0.2377653774613559,0.20509805409096082,35329,10.472459435395576,83.22486295630988,4.421546136794787,0.16699999999999998,639.3897115055498,0
13303,13,0.5088647412067486,0.4412353445810695,0.5264512439233628,0.02030311695739205,0.10772308923569428,0.2087234893957583,0.20384153661464585,0.2657062825130052,0.21400560224089635,0.250077311617359,33652,10.423827768670705,30.926285131446292,3.4316064738078746,0.175,431.0421032515046,0
13225,13,0.48589934864087914,0.44216003784432883,0.46144609002583603,0.06997561951894037,0.17001003009027083,0.1945837512537613,0.19195085255767302,0.23990722166499498,0.2035481444332999,0.2460976686328799,39844,10.592727108265056,182.8811382405984,5.208836424002407,0.17800000000000002,569.1326151519849,0
13229,13,0.4913710450623202,0.8437200383509108,0.08975178438265687,0.048684350697773514,0.11450523002869573,0.19929649171526428,0.2340090715541979,0.23687864482088308,0.21531056188095898,0.20529408593455173,39067,10.573033399843746,59.318660069385196,4.082923928838371,0.179,623.4473050062004,0
13231,13,0.48913348683102154,0.8639299152018869,0.11113607008479812,0.012130061211882967,0.09291521486643438,0.18012001548586914,0.25425861401471156,0.26355013550135503,0.2091560201316299,0.11195315191181536,53865,10.894236195328293,82.4070046185315,4.411670440808943,0.183,435.9489012504224,0
13251,13,0.49014181943964025,0.5445174680041508,0.4240055344171567,0.0137668626772743,0.10850368936736422,0.19208902866819885,0.20079835490504416,0.24882061207209386,0.2497883149872989,0.2695503942041338,34848,10.458751025732687,22.40734396629365,3.109388760766188,0.191,530.9223427601288,0
