fips,pct_urban
5131,0.7918787377528947
5133,0.36399343416578733
5135,0.19943234476367006
5137,0
5139,0.454958092173203
5141,0
5143,0.7450520769211829
5145,0.45682183818568683
5149,0.20874464728420103
6011,0.6827582987067556
6007,0.8109818181818181
6001,0.9961139424646305
6003,0
6005,0.3957627786091203
6009,0.24590811356356138
6013,0.992072638878959
6015,0.6632645927997204
6031,0.8914839654338419
6021,0.5912808477348696
6023,0.7024134063272992
6025,0.8258216446644664
6017,0.6530006959095981
6019,0.8919479821591703
6027,0.5356950285775909
6029,0.8979396901734215
6043,0
6033,0.668939921131988
6035,0.2947413669580169
6037,0.9939478164158758
6039,0.6707519968183475
6041,0.9348002646498342
6059,0.9985665556674701
6045,0.5476941291651962
6047,0.8572673998115664
6049,0.30043361552756553
6051,0.5416842698211519
6053,0.9018399882425787
6055,0.8659916180651211
6057,0.5786521404560366
6071,0.9526550085740538
6067,0.9793788783102197
6069,0.7599558522860916
6061,0.8621280479404877
6063,0.25975908432048783
6065,0.9537768976740936
1001,0.579978376793535
1007,0.316473925376391
1017,0.5085196551220225
1019,0.1426372696140675
1025,0.24019664769868
1013,0.28767842650498876
1009,0.10048497958898853
1011,0.4862561847168774
1021,0.1325527576014481
1023,0
1037,0
1027,0
1029,0
1031,0.5280491711379836
1035,0.19050498941638946
1033,0.5610531344161094
1053,0.3648842610715311
1039,0.30348206010856615
1041,0
1043,0.2676044076312713
1045,0.49111460468448387
1047,0.5436102236421725
1049,0.09869355496491303
1051,0.45811633860005296
1065,0.10831218274111676
1055,0.6251651824188451
1057,0.19766834870367148
1059,0.29633484733787535
1061,0.10358342665173573
1063,0
1081,0.7259050104458562
1067,0.12247139059068315
1069,0.6619594867401302
1071,0.22982696751648599
1073,0.9016623485495074
1075,0
1077,0.507048938075052
1079,0.0871021287748624
1099,0.20955436101959424
1083,0.4239085791597207
1085,0
1087,0.44452731680029833
1089,0.8355848523495345
1091,0.30684358206115947
1093,0.11145048089420327
1097,0.7997975747714241
1095,0.4673131295756781
1115,0.27203234720610575
1101,0.8950876994109773
1103,0.6140262783496527
1105,0
1107,0
1109,0.48320617647952824
1111,0.18657530659450966
1113,0.6459100610044006
1127,0.2591200035808603
1117,0.7705512981520876
1119,0
1121,0.4418466174915847
1123,0.2577374086889658
1125,0.7449192421502548
2090,0.6912923622426497
1129,0
1131,0
1133,0.15107825518706094
2013,0
2016,0
2068,0
2070,0
2060,0
8023,0
8025,0
8027,0
8029,0.3682799172912897
8031,1
8035,0.8971257422100783
8033,0
8049,0.17402142424038267
8039,0
8041,0.9106567480309773
8043,0.7357978814283274
8045,0.7589600808668358
8047,0
8069,0.8833961886326469
8051,0.41392586791960323
8053,0
8055,0.4385337505587841
8057,0
8059,0.9310364180243684
8061,0
8063,0.5130592503022975
8065,0.6893296853625172
8071,0.5920552008770232
8067,0.4005142790353372
8087,0.6745267942753649
8073,0
8075,0.7084415870359769
8077,0.8732373247548101
8079,0
8081,0.7264226168901776
8083,0.32817701194439003
8085,0.5501017540459346
8099,0.621145725440204
8089,0.6559396739419043
8091,0
8093,0
8095,0
8097,0.5579659435502683
8111,0
8107,0.5482155770130588
8109,0
8101,0.8584648849826798
8103,0
8105,0.37464530128526125
9001,0.95415939068245
8113,0
8115,0
8117,0.8048153175680502
8119,0.37396145610278375
8121,0
8123,0.7953999802234747
8125,0.35089116797769593
9005,0.5855144344932527
9003,0.9459135986684772
9007,0.7545993384678529
9015,0.5023896375857061
10001,0.7303062041771918
9009,0.9636001887586567
9011,0.7419167685318641
9013,0.6179211610376512
10005,0.5869639098125745
11001,1
10003,0.9539759210665597
12009,0.9492561320338034
12015,0.9111565340234282
12001,0.7880656273247728
12005,0.8800014213630872
12007,0.2447054698457223
12011,0.9998306700090271
12027,0.5375767311112386
12003,0.4050894338926793
12013,0.32485470085470086
12017,0.65481180435583
12019,0.8503130484897703
12021,0.9151405822343867
12029,0.2297527706734868
12023,0.37942574521330946
12041,0.1608123265836236
12031,0.9708850199534169
12033,0.9169777467164395
12035,0.8967877445243271
12037,0.31959477010996623
12039,0.346202763586195
12057,0.9648713906149072
12043,0.2936199937907482
12045,0.22914959339343124
12047,0.36515980809514154
12049,0.5219068912047888
12051,0.621078180889116
12053,0.8062484807093496
12055,0.78934261939951
12069,0.8074613199035859
12065,0
12067,0
12059,0.21227480303106339
12061,0.9503216738632742
12063,0.24637156756322115
12085,0.9152325756229582
12071,0.9417975479754475
12073,0.8769052623172782
12075,0.07950785519962746
12077,0
12079,0.1999063670411985
12081,0.942096997518841
12083,0.6897174145331394
12101,0.9053361652861972
12086,0.995956233589098
12087,0.9128608564783144
12089,0.5185367051313529
12097,0.9217894560544876
12099,0.9895745431903125
12091,0.8790080852993551
12093,0.6345134513451345
12095,0.9795786225649152
12117,0.96842339337336
12103,0.9971599773932891
12105,0.8648950746975145
12107,0.43837071701360875
12109,0.7622645877951368
12111,0.9664277563186447
12113,0.790106492614222
12115,0.9567951339841032
12129,0.38322069144788146
12119,0.6503532434168272
12121,0.16832326538470796
2020,0.9588282058486907
2050,0.26062422853112327
2150,0.6868010594467334
2100,0
2105,0
2110,0.7845563549160671
2122,0.2066245487364621
2130,0.7681234696148994
2220,0.7912397252561648
2164,0
2170,0.497061632675993
2180,0.33944374209860934
2185,0.40668080593849415
2188,0.42536222251761263
2195,0
2198,0
2275,0
2230,0
2240,0
2261,0
2282,0
2270,0
4009,0.5356260075228372
2290,0
4001,0.2593892446656786
4003,0.636989325902578
4007,0.5893800026120865
4005,0.6853393442988819
4023,0.7311682834247153
4011,0.534313144482636
4012,0.436722143589243
4013,0.9763620030509937
4015,0.7703635618874447
4017,0.45861757671081166
4019,0.924765088552766
4021,0.7809537749155068
5015,0.2716607155869708
4025,0.6680282230741164
4027,0.8957042365045389
5001,0.652926021347074
5011,0.504084115397984
5009,0.3780180473132266
5003,0.48318308699034457
5005,0.3415797461036302
5007,0.7483995138678678
5013,0
5017,0.45720338983050846
5029,0.2948338269167489
5019,0.45622961513372473
5021,0.4114282161288317
5023,0.24478244127839816
5025,0
5027,0.4251384815900945
5041,0.6858087330873309
5031,0.6783177628236368
5033,0.4803867760056822
5035,0.7911280499783898
5037,0.43212087297146057
5039,0.4736323311976343
5057,0.4423017382458313
5043,0.5139121508455347
5045,0.6123970080450736
5051,0.6309672581854536
5047,0.17395862068965517
5049,0.07080440996325031
5053,0.24970593177617206
5055,0.5849370396768828
5069,0.6908374765932718
5059,0.34030920632992134
5061,0.32482413518021613
5063,0.31415941277594345
5065,0
5067,0.34939156526087684
5091,0.5998803552528645
5071,0.286335160532498
5073,0
5075,0.36439850703416593
5077,0.3649270913277053
5079,0
5087,0
5089,0
5081,0.3147824766532534
5083,0.2898045005144723
5085,0.5518754754520452
5103,0.4364854517611026
5093,0.6373278829604131
5095,0.3102221131427169
5097,0
5099,0.308213849060798
5101,0
5109,0
5105,0
5107,0.5203382819322517
13011,0.06170154933405817
13013,0.6993815503049
13017,0.6599750482023364
13039,0.6855660918971354
13023,0.4841154405572992
13009,0.6486001749781277
13005,0.30713770728190337
13007,0
13021,0.8558956456890844
13015,0.647723074772607
13019,0.23856683604687337
13027,0.289601674567506
13029,0.4765653425065326
13031,0.5171682071293277
13033,0.25004288900325955
13035,0.2205876136123441
13037,0
13053,0.7048016330877784
13043,0.3303327877795963
13045,0.58174925583794
13047,0.7189797003534453
13049,0.4897707665762879
13051,0.9549500618569144
13069,0.3341675323448862
13055,0.42440899481068617
13057,0.8289727823239063
13059,0.9414037733262505
13061,0
