omega,weighting
6.13527817036071e-4,Equally weighted
7.113276505518929e-4,Equally weighted
6.27210497334431e-4,Equally weighted
5.884980154682571e-4,Equally weighted
6.032305837013645e-4,Equally weighted
6.081489219657857e-4,Equally weighted
5.826178897233832e-4,Equally weighted
5.835543078365784e-4,Equally weighted
6.211102297258179e-4,Equally weighted
5.55959246197125e-4,Equally weighted
6.53013909005471e-4,Equally weighted
5.567987007607293e-4,Equally weighted
5.738258684135384e-4,Equally weighted
6.049355689374859e-4,Equally weighted
6.323253627199403e-4,Equally weighted
5.612607207916761e-4,Equally weighted
6.118849582730446e-4,Equally weighted
5.60862953860794e-4,Equally weighted
7.27558745690264e-4,Equally weighted
5.591245318776763e-4,Equally weighted
6.136446431662314e-4,Equally weighted
5.708155619762615e-4,Equally weighted
5.38981090718426e-4,Equally weighted
6.074658966866649e-4,Equally weighted
6.228685413458357e-4,Equally weighted
6.235139996803632e-4,Equally weighted
6.2866758483687e-4,Equally weighted
6.623038939764612e-4,Equally weighted
5.824178466799472e-4,Equally weighted
6.494349985735995e-4,Equally weighted
6.208749242201068e-4,Equally weighted
6.170241581562277e-4,Equally weighted
5.795094496361985e-4,Equally weighted
5.721427487562358e-4,Equally weighted
6.191680260073064e-4,Equally weighted
6.160371931725957e-4,Equally weighted
5.912643099626374e-4,Equally weighted
5.789084004690282e-4,Equally weighted
6.680195637659523e-4,Equally weighted
6.60907235546491e-4,Equally weighted
6.209791835026582e-4,Equally weighted
6.377258911742565e-4,Equally weighted
5.600876511302316e-4,Equally weighted
6.295850835240747e-4,Equally weighted
5.768369447350996e-4,Equally weighted
6.074766097527786e-4,Equally weighted
5.992166300835326e-4,Equally weighted
6.197601046869317e-4,Equally weighted
5.86272565019472e-4,Equally weighted
6.212413263601797e-4,Equally weighted
6.394007701150332e-4,Equally weighted
6.523868980797789e-4,Equally weighted
6.460872740619972e-4,Equally weighted
6.222621598050239e-4,Equally weighted
6.379024428731837e-4,Equally weighted
6.124275581861558e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.148797558235638e-4,Equally weighted
5.413379073093476e-4,Equally weighted
