model,pre_rmspe_level,pre_rmspe_adj,mean_pre_gap,eff_n0,top10_omega
"SC, equally weighted",8.309571431556015e-4,7.680406330572073e-4,-3.171803268401163e-4,4.071885588825753,0.999138132067107
"SC, population weighted",0.0019187754599864306,0.001850418746824125,-5.075920874560325e-4,5.075731525944195,0.9974608908394937
"SDID, equally weighted",43.15575617816619,1.378680083994838,-43.133728479408376,1628.7057536663485,0.009926718809834818
"SDID, population weighted",127.69199959268799,1.5691742239283295,-127.68235763892359,1622.636433098497,0.011096583759251493
