series,b1,b2,b3,b4,b5,wavg_pop,brk1,brk2,brk3,brk4
target_popw,0.008239121034213258,0.028975295859341745,0.06989775550140456,0.13421801576486111,0.7586698118401793,996880.8614970347,6137.75,14524,38457.75,118779.90000000005
omega_popw,0.2911718551238624,0.24693652512953546,0.250303544596894,0.13705311938636308,0.07453495576334515,43906.01324914887,6137.75,14524,38457.75,118779.90000000005
omega_eq,0.2905959534926643,0.2479956828208633,0.25082487093716227,0.1366644079735571,0.07391908477575426,43649.258922747315,6137.75,14524,38457.75,118779.90000000005
