name,value
eff_N0_unwt,1628.7057536663492
eff_N0_wt,1622.636433098497
n_nonzero_unwt,1643
n_nonzero_wt,1643
dlps_n_complete,2821
dlps_n_trimmed,327
dlps_n_selected,18
dlps_n_candidates,26
unins_med,0.201
