relative_time,estimate,time,se,ci_lower,ci_upper,Weighting,year
-5,-0.0014639726516017526,2009,0.0014742744965355384,-0.004353497568137328,0.0014255522649338228,Equally weighted,2009
-4,-9.220518643126008e-4,2010,0.0019111863076171698,-0.004667908194988342,0.00282380446636314,Equally weighted,2010
-3,-1.2297096950347752e-4,2011,0.0013758134049684167,-0.0028195156926889937,0.0025735737536820387,Equally weighted,2011
-2,3.669945230988514e-4,2012,0.0017979790858890247,-0.003156979730199885,0.0038909687763975876,Equally weighted,2012
-1,5.560993291183203e-4,2013,0.0017978753235680725,-0.0029676715537683973,0.004079870212005038,Equally weighted,2013
0,-114.0610241592396,2014,77.07555539396982,-265.1263368198423,37.004288501363106,Equally weighted,2014
1,-125.24522662997029,2015,74.48613951022305,-271.23537741743337,20.744924157492818,Equally weighted,2015
2,-37.9960685263812,2016,104.04217623698877,-241.91498682404819,165.92284977128577,Equally weighted,2016
3,-91.01677100969182,2017,67.32438865025772,-222.97014804537412,40.93660602599046,Equally weighted,2017
-5,-0.0016121324552278438,2009,0.0019044525004387693,-0.005344790766355082,0.0021205258558993946,Population weighted,2009
-4,-0.0013555451622057624,2010,0.0021145688737170404,-0.005500023997520587,0.002788933673109062,Population weighted,2010
-3,-5.359317994427792e-4,2011,0.0014569932306811098,-0.0033915860572964127,0.002319722458410854,Population weighted,2011
-2,-0.0020880275783489166,2012,0.0020727957535206184,-0.00615063260255689,0.001974577445859057,Population weighted,2012
-1,0.003053676560170804,2013,0.0027588001177030488,-0.0023534723110720324,0.008460825431413639,Population weighted,2013
0,-140.65262516399972,2014,71.37097248211704,-280.5371607705483,-0.7680895574510771,Population weighted,2014
1,-87.08023967560825,2015,60.57089839622076,-205.79701904343585,31.63653969221933,Population weighted,2015
2,-46.26544972604513,2016,102.07146207475563,-246.32183924191213,153.7909397898219,Population weighted,2016
3,-115.74115861446614,2017,61.36898124387649,-236.0221516203781,4.539834391445837,Population weighted,2017
