placebo_year,estimate_eq,se_eq,estimate_wt,se_wt
2011,1.0306784466860082,3.750412691445094,-7.67994099176312,3.1087845151621187
2012,-0.4541272933326894,2.670115426365143,-7.301755583917625,2.349912477958658
