spec,label,estimate,se,n1_eff
pop_2013_baseline,"Population (2013, baseline)",-17.451375677798836,4.66294335958413,102
pop_2010,Population (2010 base year),-17.160445590233564,4.990800010798001,104
sqrt_pop,Square root of population,-8.112741717154158,4.344506226985959,569
log_pop,Log population,-1.837475128415658,3.761952369386742,1153
equal,Equal ($1/N_1$),-0.7100567147068091,3.4479985181221844,1181
