spec,estimate,se,n
base,-9.558750009367188,5.045825483274887,22446
controls,-6.619783717271004,4.137801635780681,22446
high_uninsured,-13.757272950748472,3.5802590987448357,11214
low_uninsured,-3.488451666303369,4.621460314597628,11232
