onset_year,sample,estimate_eq,se_eq,estimate_wt,se_wt
2014,headline,3.195866480829055,6.051202939947873,-2.2933715142567745,4.346535936362516
2011,placebo,NA,NA,NA,NA
2012,placebo,-3.950978214521013,5.4881811830227925,-0.8783102159971217,4.308948563366028
