spec,estimate,se_unit,se_cluster
did_eq,-0.12730812242480027,2.2570592850237086,3.9188543857625033
did_eq_x,-0.666973342111234,2.168954668190996,3.9687335284574528
sdid_eq,-0.7100519948663333,2.4162778267683915,3.4479985181221844
sdid_eq_x,-1.1842266280433762,2.198111244114405,3.648754923054278
did_w,-18.391813182268663,2.2527255757076228,4.752906064778242
did_w_x,-19.522784736478535,2.4571894089064394,5.798132629787307
sdid_w,-17.4514031424778,2.2052826461305446,4.66294335958413
sdid_w_x,-18.657313905761214,2.508627240537271,5.163616967522747
