spec,label,estimate,se,n1_eff
pop_2013_baseline,"Population (2013, baseline)",-22.44721889842272,5.594594722180459,102
pop_2010,Population (2010 base year),-22.066312634631842,5.930032837207124,104
sqrt_pop,Square root of population,-9.429695511298988,5.176496031036953,569
log_pop,Log population,-0.9316905642381279,4.404301397124019,1153
equal,Equal ($1/N_1$),0.5149524234238143,4.243646304598185,1181
