onset_year,sample,estimate_eq,se_eq,estimate_wt,se_wt
2014,headline,-3.763864669231461,4.666565048592812,-2.7837478870833987,4.643426939883888
2009,placebo,-8.644473150398971,8.54494458734521,-8.825903069901756,6.9440024076933335
2010,placebo,-5.925894223919643,6.118640067427271,-2.5174543286691327,5.3559055112049005
2011,placebo,-3.739682917187282,5.398871041849819,-0.939824803853003,4.249718530138394
2012,placebo,-5.2567683886808885,3.762923400810846,-0.31146095631782256,2.476310868291741
