relative_time,estimate,time,se,ci_lower,ci_upper,Weighting,year
-9,-0.001375766474637885,2005,0.003222839120378555,-0.007692415078546599,0.004940882129270829,Equally weighted,2005
-8,0.001955702442103302,2006,0.003345348502598157,-0.004601060138724082,0.008512465022930685,Equally weighted,2006
-7,2.5203527061989917e-4,2007,0.002295888194453641,-0.004247822903039928,0.004751893444279726,Equally weighted,2007
-6,0.002135478713626071,2008,0.0031062943056688217,-0.003952746250866671,0.008223703678118813,Equally weighted,2008
-5,-0.0010187716316067963,2009,0.002860707722412318,-0.006625655737830544,0.004588112474616952,Equally weighted,2009
-4,0.002635546196188443,2010,0.002603314227226549,-0.002466855929616314,0.0077379483219932,Equally weighted,2010
-3,-0.001483523396984765,2011,0.002500808083356815,-0.006385017172610762,0.0034179703786412323,Equally weighted,2011
-2,1.2994787778097816e-4,2012,0.0022940180901840244,-0.004366244958863066,0.0046261407144250226,Equally weighted,2012
-1,-0.0020100480743394655,2013,0.0031141466079820978,-0.00811366326856195,0.004093567119883019,Equally weighted,2013
0,-74.528560434979,2014,58.717736050254224,-189.6132083472064,40.55608747724841,Equally weighted,2014
1,-108.54618797728386,2015,59.23036380742787,-224.63556783104715,7.543191876479426,Equally weighted,2015
2,122.94416191226173,2016,79.16287345086612,-32.21221896413783,278.1005427886613,Equally weighted,2016
3,-97.94217319241022,2017,52.22593998565298,-200.30313462304034,4.418788238219889,Equally weighted,2017
-9,-0.002464970417463519,2005,0.003228445462795344,-0.008792607250594138,0.0038626664156671004,Population weighted,2005
-8,0.002232725414074821,2006,0.00414792594646573,-0.005897060051537223,0.010362510879686865,Population weighted,2006
-7,0.0017073538617182749,2007,0.0035245432954875413,-0.005200624059389417,0.008615331782825968,Population weighted,2007
-6,0.0026526219360505365,2008,0.0034116623424045684,-0.004034113382473973,0.009339357254575046,Population weighted,2008
-5,-0.0028381923475819804,2009,0.0035432175057917956,-0.009782771048325738,0.004106386353161777,Population weighted,2009
-4,0.0010034813772676898,2010,0.0030804985356527215,-0.005034184807040018,0.0070411475615753975,Population weighted,2010
-3,-0.0031208914928697595,2011,0.0027688966370213305,-0.00854782917834564,0.002306046192606121,Population weighted,2011
-2,-7.952847019510045e-5,2012,0.003370524327468086,-0.006685634761048634,0.006526577820658433,Population weighted,2012
-1,-0.004212594148697235,2013,0.003965815969322926,-0.011985450617883971,0.003560262320489501,Population weighted,2013
0,-77.97747438756682,2014,47.08160566083436,-170.25572581711927,14.30077704198564,Population weighted,2014
1,-147.73968629232886,2015,61.10047961042791,-267.4944257668914,-27.98494681776627,Population weighted,2015
2,47.78716628905627,2016,67.46201574584802,-84.43595489727983,180.01028747539237,Population weighted,2016
3,-56.02353480245057,2017,37.126122331168105,-128.78939745716826,16.742327852267124,Population weighted,2017
