placebo_year,estimate_eq,se_eq,estimate_wt,se_wt
2009,4.044356283340985,5.176352778970461,-16.732822311259703,4.888039377212502
2010,3.5406375654913447,4.511103214408058,-15.992365781622524,4.61949153985699
2011,3.605644359807859,4.493539778259443,-15.083617196277382,4.659298588517683
2012,1.9480273612539705,3.872798302339022,-14.685102804960941,4.111372909843418
