fips,effect,pop
10001,-7.39015486971897,98343
10003,-27.132432333988305,336112
10005,-19.01504648806192,113848
11001,-70.78964611239745,439371
15001,-10.94417293233991,112180
15003,-33.004918870617416,594706
15005,359.2129515340485,63
15007,-40.63203638130996,40817
15009,-33.90445550081108,97209
17001,-9.306316970221374,38026
17003,140.61919258801117,4366
17005,63.453420722679056,10698
17007,11.03645197376133,30683
17009,-60.307628607900824,4800
17011,20.5131517440364,19130
17013,-171.1641853525431,2760
17015,-44.87207866258593,8265
17017,-21.84126421346842,7585
17019,-20.641342863482777,129768
17021,-48.36869896436327,19942
17023,-15.222221128214104,9158
17025,12.119075027157969,7710
17027,-20.942520737418533,22924
17029,-46.20059524602364,33018
17031,-33.49492179353038,3242808
17033,14.491828595433446,11678
17035,-35.04524946606894,6269
17037,-26.477953341531617,64616
17039,30.979928402571602,9570
17041,62.846252388526636,11149
17043,-30.85450906758456,564579
17045,-48.89675519438556,10206
17047,-104.17832148046122,3763
17049,-32.99398321045618,19737
17051,20.65260123148984,13013
17053,-9.31368510129661,7634
17055,11.110201566768907,22115
17057,-12.014272637830764,21290
17059,-73.3159517098781,3040
17061,72.7505875338721,7881
17063,-1.2177028087679957,29628
17065,-139.47723937115867,4619
17067,-1.3823254093994848,10329
17069,46.18782956111272,2305
17071,23.94442383287501,3895
17073,-18.340842012182605,28163
17075,72.28827029187438,15958
17077,-7.321795658922184,38317
17079,7.861808035488281,5501
17081,-55.54510703737048,22743
17083,39.961867125329405,13213
17085,29.094775533597456,12228
17087,-27.031490760685145,7651
17089,-28.719758198664692,306232
17091,18.202651750670476,65037
17093,-38.728493437054624,70074
17095,-25.22108670080904,30121
17097,-25.621606963303236,415860
17099,20.49616808756035,65230
17101,23.160639571750444,10340
17103,-5.046529432501828,20898
17105,-23.005166259149902,22741
17107,74.17637476788533,18103
17109,3.441484352170505,20037
17111,-4.901626034050395,185197
17113,-15.915763096680934,108171
17115,11.37545172639473,62882
17117,9.377920041949018,26986
17119,13.650017979660845,160495
17121,41.61802033032188,21919
17123,58.861394255079155,6809
17125,-81.75946212569775,7984
17127,75.3484491317051,8451
17129,-33.903718142834364,7312
17131,32.698377585537386,9026
17133,-27.872332334310613,19797
