spec,estimate,se_unit,se_cluster
did_eq,1.6764271340125703,2.2534369325178596,5.168414659389028
did_eq_x,0.7404626788662263,2.1037261798522846,5.274943767760846
sdid_eq,0.5149708504884529,2.4014108976667528,4.243646304598185
sdid_eq_x,-0.19925707432208384,2.143157763602975,4.626536632342262
did_w,-25.958466937267715,2.771163756033339,6.296489927100536
did_w_x,-27.179607128565227,3.034166506790609,7.43214896501966
sdid_w,-22.44721889842272,2.46942444191394,5.594594722180459
sdid_w_x,-23.74367711129328,2.9472891836697612,6.287123084749358
