method,estimate,se
Standard SDID (equally weighted),0.5149524234238143,4.243646304598185
Weighted SDID (population),-22.44721889842272,5.594594722180459
Weighted DID (population),-25.958466937267715,6.296489927100536
"Borgschulte \& Vogler (2020), Table 2 col.\ 2",-11.36,3.59
