series,b1,b2,b3,b4,b5,wavg_pop,brk1,brk2,brk3,brk4
target_popw,0.008239121034213258,0.028975295859341745,0.06989775550140456,0.13421801576486111,0.7586698118401793,996880.8614970347,6137.75,14524,38457.75,118779.90000000005
omega_popw,0.2889648978495614,0.243471858252326,0.25026148669070414,0.1384258689004429,0.07887588830696539,45866.31337139298,6137.75,14524,38457.75,118779.90000000005
omega_eq,0.2913673978866505,0.2495467080339967,0.25041947809647974,0.13613459022964944,0.07253182575322391,43058.54591505048,6137.75,14524,38457.75,118779.90000000005
